id;sortOrder;conversation;character;description;English;German;French
loca.DevTest;0;;;description;Test_EN;Test_DE;Test_FR
dev04Move.testDialog;0;;;;Try to avoid the ... *gulp* oh noez. Run Forrest, Run! They will get you anyway, ahahahaha!;TESTTESTTEST auf Deutsch;Essaie d'éviter le… *gloups* Oh nooon. Cours, Forrest, cours ! Ils te trouveront quand même, hahahaha !
characterCreation.Gender.Male;0;;;;Male;Männlich;Masculin
characterCreation.Gender.Female;0;;;;Female;Weiblich;Féminin
characterCreation.Gender;0;;;;Gender;Geschlecht;Sexe
characterCreation.Metatype.Human;0;;;;Human;Mensch;Humain
characterCreation.Metatype.Orc;0;;;;Ork;Ork;Ork
characterCreation.Metatype.Elf;0;;;;Elf;Elf;Elfe
characterCreation.Metatype.Troll;0;;;;Troll;Troll;Troll
characterCreation.Metatype.Dwarf;0;;;;Dwarf;Zwerg;Nain
characterCreation.Metatype;0;;;;METATYPE;Metatypus;MÉTATYPE
characterCreation.Portrait;0;;;;PORTRAIT;Portrait;PORTRAIT
characterCreation.Itemslot.Jacket;0;;;;Jacket;Jacke;Torse
characterCreation.Itemslot.Legs;0;;;;Legs;Beine;Jambes
characterCreation.Itemslot.Hands;0;;;;Hands;Hände;Mains
characterCreation.Itemslot.Feet;0;;;;Feet;Füße;Pieds
characterCreation.Itemslot.UpperBody;0;;;;Upper body;Oberkörper;Haut du corps
characterCreation.Itemslot.Hair;0;;;;HAIR;Haare;CHEVEUX
characterCreation.Itemslot.LowerBody;0;;;;Lower body;Unterkörper;Bas du corps
characterCreation.Itemslot.Beard;0;;;;BEARD;Bart;BARBE
characterCreation.Itemslot.Eyewear;0;;;;Eyewear;Brille;Yeux
characterCreation.Itemslot.PrimaryWeapon;0;;;;Primary Weapon;Primärwaffe;Arme principale
characterCreation.Itemslot.SecondaryWeapon;0;;;;Secondary Weapon;Sekundärwaffe;Arme secondaire
characterCreation.Itemslot.Henchman;0;;;;Henchman;Handlanger;Soutien
characterCreation.Itemslot.Voiceset;0;;;;VOICE;Sprachset;VOIX
characterCreation.Itemslot.Consumable0;0;;;;Item 1;Gegenstand 1;Objet 1
characterCreation.Itemslot.Consumable1;0;;;;Item 2;Gegenstand 2;Objet 2
characterCreation.Items.none;0;;;;none;leer;Aucun objet
characterCreation.NGUI.AcceptButton.Tooltip;0;;;;Accept changes;Änderungen übernehmen;Accepter les modifications
characterCreation.NGUI.ClickToEdit;0;;;;click to edit;zum Editieren klicken;Cliquez pour modifier
characterCreation.Metatype.Human.Description;0;;;;Humans: They have been around for longest and are still the most numerous of all the metatypes. Humans are pretty average in their abilities, but are regarded as luckier than others.\n[B5E61D]+5% Critical Hit Chance[-];Menschen: Sie gibt es am längsten und sie stellen den Hauptteil der Metamenschheit. Menschen sind durchschnittlich gut in ihren Fähigkeiten, sollen aber mehr Glück haben als andere. \n[B5E61D]+5% kritische Trefferchance[-];Humains : ils constituent le métatype le plus ancien et sont toujours les plus nombreux. Les humains sont plutôt équilibrés dans leurs aptitudes, mais sont considérés comme plus chanceux que les autres.\n[B5E61D]Chances de coup critique +5 %[-]
characterCreation.Metatype.Orc.Description;0;;;;Orks look a little like their namesakes from fantasy - and it doesn't help current racial tensions that a lot of Orks try to live up to the example. They tend to have shorter lifespans than humans and are a bit stronger.\n[B5E61D]+1 Hitpoint[-]\n[B5E61D]+10% Damage[-]\n[E51E1E]-25% Critical Hit Damage[-];Orks sehen ein wenig wie ihre Namensvetter aus dem Fantasy-Milieu aus - und es hilft rassistischen Tendenzen nicht, dass sie sich manchmal auch so benehmen. Sie haben eine kürzere Lebensspanne und sind ein wenig stärker. \n[B5E61D]+1 Lebenspunkt[-]\n[B5E61D]+10% maximaler Schaden[-]\n[E51E1E]-25% kritischer Trefferschaden[-];Les orks ressemblent un peu à leurs homonymes issus de la littérature fantastique. Le fait que nombre d'orks tentent de correspondre à cet exemple n'aide en rien les tensions raciales actuelles. Ils ont tendance à avoir une espérance de vie moindre que celle des humains et sont un peu plus forts.\n[B5E61D]Points de vie +1[-]\n[B5E61D]Dégâts maximum +10 %[-]\n[E51E1E]Chances de coup critique -25 %[-]
characterCreation.Metatype.Elf.Description;0;;;;Elves are taller and more slender than humans, have pointed ears and are generally very good-looking. They have very long lifespans, and are more nimble than other metatypes.\n[B5E61D]+5% Accuracy[-]\n[B5E61D]+1 Movement[-]\n[E51E1E]-2 Hitpoints[-];Elfen sind größer und filigraner als Menschen, haben spitze Ohren und ein attraktives Erscheinungsbild. Sie leben deutlich länger und sind flinker als andere Metamenschtypen. \n[B5E61D]+5% Präzision[-]\n[B5E61D]+1 Bewegung[-]\n[E51E1E]-2 Lebenspunkte[-];Les elfes sont plus grands et plus minces que les humains. Ils ont les oreilles pointues et sont généralement très bien faits de leur personne. Ils ont une très longue espérance de vie et sont plus agiles que les autres métatypes.\n[B5E61D]Précision +10 %[-]\n[B5E61D]Mouvement +1[-]\n[E51E1E]Points de vie -2[-]
characterCreation.Metatype.Troll.Description;0;;;;Trolls make Orks look pretty ordinary. Their impressive physiques give them bonuses to Health and Damage, but they are a lot easier to hit, so hiding behind half cover won't be very effective for Trolls.\n[B5E61D]+5 Hitpoints[-]\n[B5E61D]+10% Damage[-]\n[E51E1E]Enemies have 15% more Accuracy against you[-];Trolle lassen Orks fast schon gewöhnlich aussehen. Ihre eindrucksvolle Physis verleiht ihnen mehr Gesundheit und lässt sie mehr Schaden machen. Allerdings sind sie auch einfacher zu treffen - sich als Troll hinter einer halben Deckung zu verstecken, bringt nur wenig. \n[B5E61D]+5 Lebenspunkte[-]\n[B5E61D]+10%  Schaden[-]\n[E51E1E]Gegner haben eine 15% höhere Präzision gegen dich[-];Les orks souffrent de la comparaison avec les trolls. Le physique impressionnant des trolls leur donne des bonus à la santé et aux dégâts, mais ils sont bien plus faciles à toucher, aussi se cacher derrière un couvert partiel ne sert pas à grand-chose pour eux.\n[B5E61D]Points de vie +5[-]\n[B5E61D]Dégâts +10 %[-]\n[E51E1E]Les ennemis ont une précision accrue de 15 % contre vous[-]
characterCreation.Metatype.Dwarf.Description;0;;;;Dwarves are shorter and stockier than humans. They are long-lived, robust and faced with less prejudice than some of the other metatypes.\n[B5E61D]+3 Hitpoints[-]\n;Zwerge sind kleiner und gedrungener als Menschen. Sie leben lange und sind ziemlich robust. Außerdem bringt man ihnen weniger Vorurteile entgegen, als manch anderem Metamenschtypus. \n[B5E61D]+3 Lebenspunkte[-]\n;Les nains sont plus petits et plus trapus que les humains. Ils vivent longtemps, sont robustes et sont moins ciblés par la discrimination que certains autres métatypes.\n[B5E61D]Points de vie +3[-]\n
characterCreation.VoiceSet.Default;0;;;The default voice set name;Default;Standard;Voix par défaut
characterCreation.BackgroundStory;0;;;This is the header for the background story in the character creation.;BACKGROUND;HINTERGRUND;HISTORIQUE
characterCreation.NoneItemName;0;;;This „none“ is used when the player decides not to have a beard or hair during character creation;None;Nichts;Aucune pilosité
characterCreation.SkinTextureIndex;;;;The label shown in the character creation for the skin color selector;Skin color;Hautton;Couleur de peau
characterCreation.VoiceSet.Regular;0;;;insert description;VoiceSet_Regular;VoiceSet_Regular;VoiceSet_Regular
characterCreation.VoiceSet.Gutter;0;;;insert description;VoiceSet_Gutter;VoiceSet_Gutter;VoiceSet_Gutter
characterCreation.VoiceSet.Military;0;;;insert description;VoiceSet_Military;VoiceSet_Military;VoiceSet_Military
characterCreation.VoiceSet.Headcase;0;;;insert description;VoiceSet_Headcase;VoiceSet_Headcase;VoiceSet_Headcase
characterCreation.VoiceSet.Mechanical;0;;;insert description;VoiceSet_Mechanical;VoiceSet_Mechanical;VoiceSet_Mechanical
characterCreation.VoiceSet.Dog;0;;;insert description;VoiceSet_Dog;VoiceSet_Dog;VoiceSet_Dog
characterCreation.VoiceSet.Bear;0;;;insert description;Voiceset_Bear;Voiceset_Bear;Voiceset_Bear
characterCreation.VoiceSet.Spirit;0;;;insert description;Voiceset_Spirit;Voiceset_Spirit;Voiceset_Spirit
characterCreation.Itemslot.Horns;;;;The label shown in the character creation next to the horns selector.;HORNS;HÖRNER;CORNES
missionStartMenu.PvP;0;;;;PLAYER vs PLAYER;SPIELER vs SPIELER;JOUEUR CONTRE JOUEUR
missionStartMenu.COOP;0;;;;PLAY COOP-MISSION;SPIELE KOOPERATIVE MISSION;LANCER UNE MISSION EN MODE COOPÉRATIF
missionStartMenu.NGUI.Campaign;0;;;;>> CAMPAIGN;>> KAMPAGNE;>> CAMPAGNE
missionStartMenu.NGUI.Campaign.Tooltip;0;;;;CAMPAIGN;KAMPAGNE;CAMPAGNE
missionStartMenu.NGUI.Daily;0;;;;>> DAILY MISSION;>> TÄGLICHE MISSION;>> MISSION JOURNALIÈRE
missionStartMenu.NGUI.Daily.Tooltip;0;;;;DAILY MISSION;TÄGLICHE MISSION;MISSION JOURNALIÈRE
missionStartMenu.NGUI.COOP;0;;;;CO-OP;KOOPERATIV;MODE COOPÉRATIF
missionStartMenu.NGUI.COOP.Tooltip;0;;;;CO-OP;KOOPERATIV;MODE COOPÉRATIF
missionStartMenu.NGUI.PvP;0;;;;PLAYER vs PLAYER;SPIELER vs SPIELER;JOUEUR CONTRE JOUEUR
missionStartMenu.NGUI.PvP.Tooltip;0;;;;PLAYER vs PLAYER;SPIELER vs SPIELER;JOUEUR CONTRE JOUEUR
missionStartMenu.NGUI.Archive;0;;;;MISSION-ARCHIVE;MISSIONSARCHIV;ARCHIVES DE MISSION
missionStartMenu.NGUI.Archive.Tooltip;0;;;;MISSION-ARCHIVE;MISSIONSARCHIV;ARCHIVES DE MISSION
missionStartMenu.NGUI.MenuTitle;0;;;;MAIN MENU;HAUPTMENÜ;MENU PRINCIPAL
missionStartMenu.NGUI.MenuTitle.Tooltip;0;;;;MAIN MENU;HAUPTMENÜ;MENU PRINCIPAL
missionStartMenu.NGUI.CharacterEditor;0;;;;PLAYER CHARACTER;SPIELCHARAKTER;PERSONNAGE DU JOUEUR
missionStartMenu.NGUI.CharacterEditor.Tooltip;0;;;;Open character customization;Öffne Charaktermenü;Ouvrir la personnalisation de personnage
missionStartMenu.NGUI.CharacterEditorButton.Tooltip;0;;;;Open character customization;Öffne Charaktermenü;Ouvrir la personnalisation de personnage
missionArchiveView.NGUI.MenuTitle;0;;;;>> MISSION ARCHIVE;>> MISSIONSARCHIV;>> ARCHIVES DE MISSION
loadoutSelectionView.NGUI.MenuTitle.Tooltip;0;;;;LOADOUT SELECTION;AUSRÜSTUNGSAUSWAHL;SÉLECTION DE L'ÉQUIPEMENT
loadoutSelectionView.NGUI.MenuTitle;0;;;;LOADOUT SELECTION;AUSRÜSTUNGSAUSWAHL;SÉLECTION DE L'ÉQUIPEMENT
loadoutSelectionView.NGUI.StartMissionLabel.Tooltip;0;;;;>>START MISSION<<;>>STARTE MISSION<<;>> COMMENCER LA MISSION <<
loadoutSelectionView.NGUI.StartMissionLabel;0;;;;>>START MISSION<<;>>STARTE MISSION<<;>> COMMENCER LA MISSION <<
loadoutSelectionView.NGUI.StrartMissionButton.Tooltip;0;;;;Start mission;Starte Mission;Commencer la mission
loadoutSelectionView.NGUI.HenchSelectionButton.Tooltip;0;;;;Open henchmen selection;Öffne Handlangerauswahl;Ouvrir l'écran de sélection des soutiens
loadoutSelectionView.NGUI.CharacterCreationButton.Tooltip;0;;;;Open character customization;Öffne Charaktermenü;Ouvrir la personnalisation de personnage
loadoutSelectionView.NGUI.BackButton.Tooltip;0;;;;Go back to mission briefing;Zurück zur Missionsbesprechung;Retourner au briefing de mission
loadoutSelectionView.NGUI.HenchSelection.Tooltip;0;;;;Open henchmen selection;Öffne Handlangerauswahl;Ouvrir le menu de sélection des soutiens
loadoutSelectionView.NGUI.CharacterCreation.Tooltip;0;;;;Open character customization;Öffne Charaktermenü;Ouvrir la personnalisation de personnage
teamSelectionView.NGUI.InfoButton.Tooltip;0;;;;Toggle Character Information Sheet;Detaillierte Charakter-Informationen an/aus;Activer l'écran d'informations du personnage
teamSelectionView.NGUI.RemoveButton.Tooltip;0;;;;Remove Character from Team;Entferne Charakter aus Team;Retirer un personnage de l'équipe
teamSelectionView.NGUI.RemoveButton;0;;;;REMOVE;ENTFERNEN;RETIRER
teamSelectionView.NGUI.ReadyLabel.Tooltip;0;;;;Player is ready;Spieler ist bereit;Le joueur est prêt
teamSelectionView.NGUI.ReadyLabel;0;;;;READY!;BEREIT!;PRÊT !
teamSelectionView.NGUI.AddHenchButton.Tooltip;0;;;;Add Henchman;Füge Handlanger hinzu;Ajouter un soutien
teamSelectionView.NGUI.AddFriendButton.Tooltip;0;;;;Invite a Friend;Lade einen Freund ein;Inviter un ami
teamSelectionView.NGUI.PressToSelectCharacter.Tooltip;0;;;;Press Button to select henchman;Klicke den Button, um einen Handlanger hinzuzufügen;Cliquez sur le bouton pour sélectionner un soutien
teamSelectionView.NGUI.PressToSelectCharacter;0;;;;PRESS BUTTON TO SELECT HENCHMAN;KLICKEN UM HANDLANGER HINZUZUFÜGEN;CLIQUEZ "+" POUR UN SOUTIEN
teamSelectionView.NGUI.OtherPlayersHench.Tooltip;0;;;;Other Players Henchman;Der Handlanger des anderen Spielers;Soutien des autres joueurs
teamSelectionView.NGUI.OtherPlayersHench;0;;;;OTHER PLAYERS HENCHMAN;HANDLANGER DES ANDEREN SPIELERS;SOUTIEN DES AUTRES JOUEURS
teamSelectionView.NGUI.CancelMissionStartButton.Tooltip;0;;;;Cancel Mission Setup;Missionsstart abbrechen;Annuler les préparatifs de mission
teamSelectionView.NGUI.CancelMissionStartButton;0;;;;BACK;ZURÜCK;RETOUR
teamSelectionView.NGUI.CancelLeaveGroup.Tooltip;0;;;;Cancel Mission Setup and leave group;Missionsstart abbrechen und Gruppe verlassen;Annuler les préparatifs de mission et quitter le groupe
teamSelectionView.NGUI.CancelLeaveGroup;0;;;;LEAVE;VERLASSEN;QUITTER
teamSelectionView.NGUI.StartMissionButton.Tooltip;0;;;;Start mission;Starte Mission;Commencer la mission
teamSelectionView.NGUI.StartMissionButton;0;;;;START;STARTEN;COMMENCER
teamSelectionView.NGUI.ReadyButton.Tooltip;0;;;;Set ready;Bin bereit;S'indiquer comme prêt
teamSelectionView.NGUI.ReadyButton;0;;;;READY;BEREIT;PRÊT
teamSelectionView.NGUI.CancelReadyButton.Tooltip;0;;;;Abort ready state;Nicht mehr bereit;Annuler l'état prêt
teamSelectionView.NGUI.CancelReadyButton;0;;;;ABORT;ABBRUCH;ANNULER
teamSelectionView.NGUI.RandomHenchButton.Tooltip;0;;;;Populate all available slots with random henchmen;Fülle alle verfügbaren Slots mit zufällig ausgewählten Handlangern;Remplir aléatoirement les emplacements disponibles par des soutiens
teamSelectionView.NGUI.RandomHenchButton;0;;;;RANDOM;ZUFALL;ALÉATOIRE
teamSelectionView.NGUI.MenuName.Tooltip;0;;;;TEAM SELECTION;TEAM-AUSWAHL;SÉLECTION DE L'ÉQUIPE
teamSelectionView.NGUI.MenuName;0;;;;>> TEAM SELECTION;>> TEAM-AUSWAHL;>> SÉLECTION DE L'ÉQUIPE
teamSelectionView.NGUI.MenuNameCoop.Tooltip;0;;;;TEAM SELECTION COOP;TEAM-AUSWAHL COOP;SÉLECTION DE L'ÉQUIPE EN MODE COOPÉRATIF
teamSelectionView.NGUI.MenuNameCoop;0;;;;>> TEAM SELECTION COOP;>> TEAM-AUSWAHL COOP;>> SÉLECTION DE L'ÉQUIPE EN MODE COOPÉRATIF
teamSelectionView.NGUI.MissionStartInProgress.Tooltip;0;;;;Mission has been started, please stand by ...;Mission gestartet, bitte warten ...;La mission a été lancée, veuillez patienter…
teamSelectionView.NGUI.MissionStartInProgress;0;;;;Waiting for Game Server ...;Warten auf Game Server ...;En attente du serveur de jeu…
teamSelectionView.NGUI.MissionStartInProgress.Partner.Tooltip;0;;;;All members are ready, please stand by ...;Gruppe ist bereit, bitte warten ...;Tous les membres sont prêts, veuillez patienter…
teamSelectionView.NGUI.MissionStartInProgress.Partner;0;;;;Waiting for Partner ...;Warten auf Partner ...;En attente du partenaire…
teamSelectionView.NGUI.Selected;0;;;;{0} of {1} SELECTED;{0} von {1} AUSGEWÄHLT;{0} sur {1} SÉLECTIONNÉ(S)
henchSelectionView.NGUI.CancelButtonLabel.Tooltip;0;;;;Cancel Hench Selection and close dialog;Auswahl verwerfen und Dialog schließen;Annuler la sélection des soutiens et mettre fin au dialogue
henchSelectionView.NGUI.CancelButtonLabel;0;;;;CANCEL;ABBRUCH;ANNULER
henchSelectionView.NGUI.AddHenchButtonLabel.Tooltip;0;;;;Add selected character to Team Selection;Ausgewählten Charakter zum Team hinzufügen;Ajouter le personnage sélectionné à l'équipe
henchSelectionView.NGUI.AddHenchButtonLabel;0;;;;ADD;HINZUFÜGEN;AJOUTER
henchSelectionView.NGUI.FriendSelectionButton.Tooltip;0;;;;Switch to Friend Selection;Zur Freund-Auswahl umschalten;Passer à la sélection d'amis
henchSelectionView.NGUI.SelectRandomHenchButton.Tooltip;0;;;;Hench Selection;Handlanger-Auswahl;Sélection de soutiens
henchSelectionView.NGUI.InfoButton.Tooltip;0;;;;Toggle Character Information Sheet;Detaillierte Charakter-Informationen an/aus;Activer / désactiver l'écran d'informations du personnage
henchSelectionView.NGUI.HenchButton.Tooltip;0;;;;Select Character;Ausgewählter Charakter;Sélectionner un personnage
friendView.NGUI.InviteFriend.Tooltip;0;;;;Invite into group;In Gruppe einladen;Inviter dans un groupe
friendView.NGUI.InviteFriend;0;;;;INVITE;EINLADEN;INVITER
friendView.NGUI.RemoveFriend.Tooltip;0;;;;Remove Friend;Freund entfernen;Supprimer un ami
friendView.NGUI.RemoveFriend;0;;;;UNFRIEND;ENTFERNEN;SUPPRIMER
friendView.NGUI.WhisperFriend.Tooltip;0;;;;Whisper to Friend;Freund anflüstern;Envoyer un message privé à un ami
friendView.NGUI.WhisperFriend;0;;;;WHISPER;FLÜSTERN;ENVOYER UN MESSAGE PRIVÉ
friendView.NGUI.SearchFriend.Tooltip;0;;;;Search for Users;Nach Spielern suchen;Chercher des utilisateurs
friendView.NGUI.SearchFriend;0;;;;SEARCH ...;SUCHEN ...;RECHERCHE…
friendView.NGUI.AddHench.Tooltip;0;;;;Add the selected character as Henchman;Den ausgewählten Charakter als Handlanger hinzufügen;Ajouter le personnage sélectionné en tant que soutien
friendView.NGUI.AddHench;0;;;;ADD;HINZUFÜGEN;AJOUTER
friendView.NGUI.AddFriend.Tooltip;0;;;;Add the selected user as Friend;Den ausgewählten Spieler als Freund hinzufügen;Ajouter l'utilisateur sélectionné en ami
friendView.NGUI.AddFriend;0;;;;ADD;HINZUFÜGEN;AJOUTER
friendView.NGUI.CancelSearch.Tooltip;0;;;;Cancel Search;Suche abbrechen;Annuler la recherche
friendView.NGUI.CancelSearch;0;;;;CANCEL;ABBRECHEN;ANNULER
friendView.NGUI.FriendSelectionButton.Tooltip;0;;;;Switch to Friends List;Auf Freundesliste umschalten;Passer à la liste d'amis
friendView.NGUI.SearchFriendButton.Tooltip;0;;;;Switch to Player Search;Zur Spieler-Suche umschalten;Passer à l'écran Recherche de joueurs
friendView.NGUI.PlayerCharacterButton.Tooltip;0;;;;Select Character;Charakter auswählen;Sélectionner un personnage
